Word,Chinese,Definition,Synonyms,Usage,Reference
cretin,n.[医]白痴病患者,,,the mental age of a cretin.,Amelie 2001
crew,*hail v.冰雹；招呼,,,Howard Hughes and his crew,The Aviator 2004-English
crib,lazy adj.懶散的,,,,
cribbage,n.纸牌玩法之一,,,to your cribbage game.,The Green Mile 1999
crick,"n.急性硬直,肌肉抽筋vt.引起痉挛",,,"Interesting man you got there, Crick.",The Constant Gardener 2005-English
cricket,"n.[昆]蟋蟀,[运动]板球",,,Jiminy Cricket.,The Aviator 2004-English
cried,vbl.cry 的过去式及过去分词,,,Gracie broke out and cried,Million Dollar Baby 2004
crikey,int.唉呀!,,,Crikey. What a state.,Finding Nemo 2003
crime,"showing anger or annoyance at what is perceived as
*indignant adj.憤慨的unfair treatment. he was indignant at being the object
anger provoked by what is perceived as unfair treatment. the letter filled Lucy with indignation.",,,to a crime I didn't commit?,Spider Man 2 2004 Extended
crimea,n.克里米亚(半岛),,,"in the Caucasus, in the Crimea,",Enemy at the Gates 2001
crimes,"convey (a thought or feeling) in words or by gestures and
conduct. he expressed complete satisfaction.
expression n.表情；表示 she accepted his expressions of sympathy.
extend v.延伸  the Forest Service plans to extend a gravel road nearly a mile.
a part that is added to something to enlarge or
prolong it; a continuation.
the railroad's southern extension.",,,for crimes against humanity.,The Interpreter 2005-English
criminal,"n.罪犯,犯罪者adj.犯罪的,犯法的,罪恶的",,,It's a criminal act to present,Spider Man 2 2004 Extended
criminality,"n.有罪,犯罪,犯罪行为",,,to strike at the heart of criminality.,Batman Begins 2005
criminally,"adv.刑法上,犯了罪地",,,but criminally negligent.,The Exorcism of Emily Rose
criminals,,,,desperate to fight criminals...,Batman Begins 2005
crimson,adj.深红色的n.深红色,,,"""Now Sleeps the Crimson Petal.""",Vanity Fair 2004
crinkly,"adj.起皱的,绉褶多的,卷缩的",,,He has crinkly eyes.,Amelie 2001
cripple,*cripple n.肢體殘障者；couple n.(一)對,,,turn you into no cripple.,Ray 2004
cris,n.(=creese)(马来亚人用之)短剑,,,- Cris?,21 Grams-English
crisis,*coupon n.優待券；crisis n.危機,,,Some sort of midlife crisis?,Big Fish 2003
crisp,"adj.脆的,易碎的",,,(Music) Deep and crisp and even,Love Actually-English
crisply,"adv.易碎地,清楚地",,,And you write it crisply and sharp,Pirates of the Caribbean The Curse of the Black Pearl 2003
crispy,"adj.易碎的,精神爽快的",,,"- Tomatoes, sausages, nice crispy bacon.",The Lord of the Rings The Fellowship of the Ring
cristian,,,,,
criteria,,,,,
criterion,,,,,
critic,"n.批评家,评论家,吹毛求疵者",,,art critic there is.,Frida [2002]
critical,faculty n.能力；feed v./n.餵食,,,has now become critical.,The Interpreter 2005-English
criticise,"v.批评,吹毛求疵,非难",,,Not to criticise nor to comment,Master and Commander The Far Side of the World-English
criticism,"the idea of linking pay to performance has caught on.
理想 的  satisfying one's conception of what is perfect; most suitable. the swimming pool is ideal for a quick dip.
similar in every detail; exactly alike.
four girls in identical green outfits.
each child was tagged with a
number for identification.",,,"I have endured endless criticism,",Hero 2002 CHINESE
criticize,"v.批评,责备",,,you criticize.,District B13 2004
criticized,,,,,
critique,n.批评,,,I want a serious critique.,Frida [2002]
critter,"n.<方><谑>生物,家畜,马,牛,<贬>人",,,Or some critter tethered to a post.,Cold Mountain-English
croaker,"n.嘎声的人,喊冤者",,,with a croaker shrink.,Requiem for a Dre
crocodile,"n.鳄鱼,鳄鱼皮",,,inside the crocodile?,Finding Neverland 2004-English
croesus,"n.大富豪,大财主",,,"as rich as Croesus,",Vanity Fair 2004
croft,"n.<英>(住宅附近的)小田地,(尤指佃户经营的)小农地",,,for little Lara Croft to grow up...,Tomb Raider 2001
cronyism,n.任用亲信,,,4 more years of cronyism!,"O Brother, Where Art Thou -English"
crook,"n.钩状物,(河、道的)弯处,<美口>骗子vt.使弯曲,诈骗vi.弯曲",,,"Car thief, small-time crook, drugs,",21 Grams-English
crooked,"adj.弯曲的,拐骗的,不老实的",,,"But the alley is crooked,",Sin City 2005-English
crop,"n.农作物,产量,平头,短发vt.收割,修剪,种植vi.收获",,,with half the crop gone.,Reign of Fire 2002-English
crops,*courtesy n.有禮的舉止；crop n.農作物,,,for cool-season crops.,Cold Mountain-English
croquet,"n.槌球戏,循环球戏vi.击自己的球使其撞打对方的球",,,- And Croquet.,City of God 2002
cross,"n.十字,交叉,十字架,十字形物adj.交叉的,相反的,乖戾的v.使交叉,横过,勾划,错过,反对,杂交",,,Are you cross with me?,Vanity Fair 2004
crossbow,"n.石弓,弩",,,with your crossbow.,Reign of Fire 2002-English
crossed,*courtyard n 庭院；cross n./v.交叉；越過,,,Saladin has crossed the Jordan,Kingdom of Heaven 2005
crossing,*crossing n.交叉口；cousin n.表(兄弟姊妹),,,WE'D EVER WANT CROSSING OVER,Constantine 2005
crossover,"n.转线路,天桥,交叉",,,- What a crossover!,How to Lose a Guy in 10 Days 2003
crossroad,,,,,
crossword,n.纵横字谜,,,Doin' the crossword?,American Psycho-English
crotch,"n.分叉处,丫叉,胯部",,,I think we bonded just fine around 3:10 this morning when your knee was in my crotch.,Guess Who 2005-English
crouch,,,,,
crouched,,,,crouched by the McLaren.,Tomb Raider 2001
crow,"n.全体人员,(工作)队 vbl.crow的过去式",,,to Jim Crow again. Ever.,Ray 2004
crowbar,,,,,
crowd,*gleam n.一絲光線；gather v.收集；聚集,,,handling this enormous crowd...,The Aviator 2004-English
crowded,"adj.拥挤的,塞满的",,,crowded and sweaty and stuff.,Love Actually-English
crown,"n.王冠,花冠,顶vt.加冕,顶上有,表彰,使圆满完成",,,want to risk the Crown Derby.,Vanity Fair 2004
crowned,"adj.有王冠的,王室的",,,"shadows, will never be crowned king.",The Lord of the Rings The Return of the King
crucial,adj.至关紧要的,,,And the crucial question is:,Spider Man 2 2004 Extended
crucifixion,"n.刑罚,磨难",,,He's gotta do a crucifixion in Fresno.,The Aviator 2004-English
crucify,vt.十字架上钉死,,,"I mean, they'll crucify you.",About a Boy 2002-English
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的n.天然的物质",,,"He's a crude sort of chap, our Kenny,",The Constant Gardener 2005-English
crudely,"adv.照自然状态,不成熟地,粗杂地",,,the intestines had been torn out crudely.,The Blair Witch Project 1999
cruel,"adj.残酷的,悲惨的,使痛苦的",,,How can you be so cruel?,Vanity Fair 2004
cruelty,"convey (a thought or feeling) in words or by gestures and
conduct. he expressed complete satisfaction.
expression n.表情；表示 she accepted his expressions of sympathy.
extend v.延伸  the Forest Service plans to extend a gravel road nearly a mile.
a part that is added to something to enlarge or
prolong it; a continuation.
the railroad's southern extension.",,,I've seen enough cruelty,Vanity Fair 2004
cruise,*cruise n.乘船遊覽；damage n./v.損害；毀壞,,,"So high-cruise power, you're looking",The Aviator 2004-English
cruiser,n.巡洋舰,,,I left my report pad in the cruiser.,Mystic River 2003
crumble,,,,,
crummy,adj.丰满的,,,"- * That scummy, crummy *",Chicago 2002-English
crunch,"v.嘎扎嘎扎的咬嚼,压碎,扎扎地踏过n.咬碎,咬碎声,扎扎地踏",,,- Crunch time ! Crunch time !,Cast Away 2000
crusade,"n.十字军东侵,宗教战争,改革运动vi.加入十字军,投身正义运动",,,If you take the Crusade...,Kingdom of Heaven 2005
crusader,"n.十字军战士,改革者",,,IT'S A BAR. PAPA MIDNITE IS A CRUSADER FOR,Constantine 2005
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形",,,crush in my life.,Mean Girls 2004
crushed,,,,"His chest was crushed,",The Aviator 2004-English
crusher,"n.压碎的东西,镇服人的事实,打击",,,"And, girl, please. He is too big. He is a bone crusher.",Guess Who 2005-English
crushing,grind v.磨；壓,,,It seems to be crushing my feet.,The Aviator 2004-English
crust,"n.外壳,硬壳,面包皮vt.盖以硬皮vi.结硬皮",,,"in a cassava and tipali crust,""",Hotel Rwanda 2004-English
crusty,"adj.有硬壳的,顽固的,脾气暴躁的",,,A few crusty bitches,Gangs of New York 2002
cry,*damp adj.潮溼的；cry v./n.哭；叫喊,,,"gonna cry now, are you?",Million Dollar Baby 2004
crybaby,"n.爱哭的人,软弱容易哭的人",,,"a lazy, spoiled crybaby...",Spirited Away 2001
crying,"adj.叫喊的,显著的,嚎哭的",,,- For crying out loud...,The Aviator 2004-English
crypt,"n.土窖,地下室,地穴",,,She's in the crypt,Kingdom of Heaven 2005
cryptic,"adj.秘密的,含义模糊的,神秘的,隐藏的",,,Just these cryptic,The Talented Mr Ripley-English
cryptography,"n.密码使用法,密码系统 密码术",,,symbol cryptography.,A Beautiful Mind 2001
cryptojacking,,,,,
cryptology,"n.密码研究,密码术",,,But Captain Thurman's cryptology team is,Pearl Harbor 2001
cryptosystem,,,,,
crystal,crystal adj./n.水晶的；dance n./v.舞蹈,,,Crystal White Hotel. Hello.,Ray 2004
crystalline,,,,,
csp,,,,,
csprng,,,,,
css,"Cascading Style Sheet,层叠式样式表",,,"CSS reports, ballistics, fingerprint",Mystic River 2003
csv,,,,,
cte,,,,,
ctenophora,n.[动]栉水母类,,,"Anthozoa, ctenophora,",Finding Nemo 2003
ctl,,,,,
cub,"n.幼兽,不懂规矩的年轻人",,,"his pet lion cub, Gilmore.",The Aviator 2004-English
cuba,*emigrant n.移民,,,Kita cuba lagi.,Downfall 2004
cuban,n.古巴人adj.古巴(人)的,,,So do you like Cuban food?,Hitch 2005
cubbyhole,"n.舒适的地方,文件架",,,"Could you just tuck it into your cubbyhole,",The Constant Gardener 2005-English
cube,"n.立方体,立方",,,"It's not a country, it's an ice cube.",Tomb Raider 2001
cubic,"*cubic adj.立方的
*cucumber n.黃瓜；dangerous adj.危險的
have the courage to do something.
a story he dare not write down.",,,is 47 cubic inches.,Spider Man 2 2004 Extended
cubicle,n.小卧室,,,- The cubicle across from you is empty.,The Matrix 1999
cucaracha,n.一种墨西哥歌舞,,,"""LA CUCARACHA"")",Lilo and Stitch 2002
cuckoo,,,,,
cucumber,n.[植]黄瓜,,,and then the sea cucumber...,Finding Nemo 2003
cuddle,v.拥抱,,,Big man likes to cuddle in his sleep.,Guess Who 2005-English
cuddly,"adj.令人想拥抱的,喜爱抚的",,,I just wish he were a little bit more cuddly when he was awake.,Guess Who 2005-English
cue,"n.暗示,提示,球杆",,,And cue the magic.,Guess Who 2005-English
cuff,"n.袖口,裤子翻边,护腕,手铐vt.给...上袖口(或翻边),用手铐铐",,,Cuff yourself.,Collateral 2004
cuisine,"n.厨房烹调法,烹饪,烹调风格",,,Japanese cuisine chef in Korea.,Oldboy 2003
culminate,,,,,
culminated,,,,,
culminating,"adj.到绝顶的,终极的,最后的",,,culminating in a full solar eclipse.,Tomb Raider 2001
culprit,n.犯人,,,The culprit.,21 Grams-English
cult,"n.礼拜,祭仪,一群信徒,礼拜式",,,SOME KIND OF LEGION OR CULT.,Constantine 2005
cultivate,,,,,
cultivated,"*cult n.狂熱的崇拜 cultivate v.耕作；培養；*darken v.使變黑
*darkroom n.暗房",,,,
cultural,*culture n.文化；教養；*dart n.鏢；急衝,,,,
culture,"n.文化,文明",,,culture by touching people's hearts.,Ray 2004
cultured,"adj.有教养的,讲究的,有修养的",,,cultured in this house.,Vanity Fair 2004
culver,n.[动]斑鸠,,,the trip from Culver City...,The Aviator 2004-English
culvert,n.管路,,,but for a small culvert at its base...,The Lord of the Rings The Two Towers 2002 EXTENDED
cum,"prep.<拉>连同,附带",,,On a cum les tavernes,From Hell 2001
cumulative,adj.累积的,,,that it was a cumulative effect...,The Exorcism of Emily Rose
cumulonimbus,n.积雨云,,,The cumulonimbus formations,The Aviator 2004-English
cunning,"adj.狡猾的,巧妙的,<美>漂亮的,可爱的n.狡猾,诡诈",,,The White Wizard is cunning.,The Lord of the Rings The Two Towers 2002 EXTENDED
cunt,"n.<忌>阴道,女性之阴部,性交,肉体,(尤指被视作性交对象的)女人",,,"Keep shooting, you cunt!",28 Days Later 2002
cup,"n.杯子,酒杯,奖杯vt.使成杯状,为...拔火罐",,,I'll get a cup of coffee.,Million Dollar Baby 2004
cupboard,cupboard n.碗櫃；date n./v.日期；約會,,,till the cupboard is bare.,Finding Neverland 2004-English
cupcake,n.<美>(波纹)纸托蛋糕,,,Eat your cupcake.,Million Dollar Baby 2004
cur,"光标资源文件n.杂种,坏种,恶狗,卑贱的人,胆怯的家伙",,,"Get down, cur!",The Lord of the Rings The Return of the King
curator,"n.馆长,监护人",,,"- The museum, there. She's the curator.",Oceans Eleven 2001
curb,n.路边,,,the curb of Hollywood Boulevard.,The Aviator 2004-English
curculio,n.象鼻虫,,,They're the same species of curculio.,Master and Commander The Far Side of the World-English
curdle,v.凝固,,,will curdle *,Chicago 2002-English
curds,,,,,
cure,cure n/v.治療；治癒；dawn n./v.黎明；破曉,,,can cure what ails me.,Vanity Fair 2004
cured,cure n/v.治療；治癒；dawn n./v.黎明；破曉,,,I was cured.,Sin City 2005-English
curfew,"n.(中世纪规定人们熄灯安睡的)晚钟声,打晚钟时刻,宵禁令(时间)",,,I have a curfew.,Mean Girls 2004
curing,,,,"""Thank you for curing me...",Moulin Rouge! 2001
curiosity,n.好奇心,,,Curiosity.,Spider Man 2 2004 Extended
curious,"*indoor adj.室內的situated, conducted, or used within a building.；*inquisitive adj.好奇的",,,being curious.,Spider Man 2 2004 Extended
curl,v.(使)卷曲,,,"Curl away, my son.",Finding Nemo 2003
curly,"adj.卷曲的,卷毛的,弯曲的,(木材)有皱状纹理的",,,"I'm Curly, the oldest and wisest of the crew.",Finding Neverland 2004-English
currant,"n.(无核)葡萄干,[植]黑醋栗",,,by roast duck with currant glaze...,The Aviator 2004-English
currencies,*gold n./adj.黃金,,,,
currency,*currency n.貨幣；流通；*daylight n.日光,,,has long since been driven from currency.,Alexander 2004-English
current,*coupon n.優待券；crisis n.危機,,,...but put a current through it...,Batman Begins 2005
currently,"adv.普遍地,通常地,现在,当前",,,Currently 78 degrees in Nomanisan.,The Incredibles 2004
